iataMain;iataSub;description
100;100;FOKKER 100
146;142;BRITISH AEROSPACE 146-200 PASSENGER
146;143;BRITISH AEROSPACE 146-300
146;141;BRITISH AEROSPACE 146-100
14F;14Y;BRITISH AEROSPACE 146-200 FREIGHTER
220;221;Airbus A220-100
220;223;Airbus A220-300
310;313;AIRBUS A310-300 PASSENGER
31F;31Y;AIRBUS A310-300 FREIGHTER
32S;32X;AIRBUS A321-200P2F
32S;32A;AIRBUS A320-214 SHARKLETS
32S;32Q;AIRBUS A321 NEO (XLR)
32S;321;AIRBUS A321-100/200
32S;32N;AIRBUS A320 NEO
32S;320;AIRBUS A320
32S;31N;AIRBUS A319 NEO
32S;319;AIRBUS A319
32S;318;AIRBUS A318
330;338;Airbus A330-800NEO
330;339;AIRBUS A330-900neo
330;333;AIRBUS A330-300
330;332;AIRBUS A330-200
33F;33B;Airbus A330-743L Beluga XL
33F;33X;A330-200 FREIGHTER
33F;33Y;Airbus A330-300F
340;342;AIRBUS A340-200
340;345;AIRBUS A340-500
340;343;AIRBUS A340-311
340;346;AIRBUS A340-600
343;343;AIRBUS A340-300
350;359;AIRBUS A350-900
350;351;AIRBUS A350-1000
380;388;Airbus A380-800
737;733;BOEING 737-300
737;734;BOEING 737-400
737;735;BOEING 737-500
737;738;BOEING 737-800 PASSENGER
737;7S8;BOEING 737-800 SCIMITAR WINGLETS
737;73H;BOEING 737-800 WINGLETS
737;73W;BOEING 737-700 Winglets
737;73C;Boeing 737-300 Winglets
737;73E;Boeing 737-500 Winglets
737;7M8;Boeing 737MAX-8
737;7M9;Boeing 737MAX-9
737;736;BOEING 737-600
737;73J;B737-900/Winglets
737;73G;BOEING 737-700
73F;73P;BOEING 737-400 FREIGHTER
73F;73Y;BOEING 737- 300 FREIGHTER
73F;73S;Boeing 737-700 Freighter (Winglets)
73F;73K;Boeing 737-800 Freighter (Winglets)
747;74H;Boeing 747-8
747;744;BOEING 747-400 PASSENGER
74F;74X;BOEING 747-200C/200F FREIGHTER
74F;74Y;BOEING 747-400F FREIGHTER
74F;74N;Boeing 747-8 freighter
74M;74E;BOEING 747-400 MIXED CONFIGURATION
757;752;BOEING 757-200 PASSENGER
757;75W;Boeing 757-200 Winglets
757;75T;BOEING B757-300 WINGLETS
75F;75C;BOEING 757-200PF FREIGHTER
75F;75V;Boeing 757-200 Freighter Winglets
767;762;BOEING 767-200/200ER
767;764;BOEING B767-400
767;763;BOEING 767-300/300ER
767;76W;Boeing 767-300 winglet
76F;76X;BOEING 767-200 FREIGHTER
76F;76Y;BOEING 767-300 FREIGHTER
777;773;BOEING 777-300
777;779;Boeing 777-9
777;772;Boeing 777-200ER
777;77W;BOEING 777-300ER
777;778;Boeing 777-8
777;772;BOEING 777-200
777;77L;Boeing 777-200 Long Range
77F;77X;BOEING 777-200 FREIGHTER
787;781;Boeing 787-10 Dreamliner
787;788;Boeing 787-8 Dreamliner
787;789;Boeing 787-9 Dreamliner
AB3;AB6;AIRBUS A300-600/600C PASSENGER
ABB;ABB;BGA- Airbus Transport Beluga
ABF;ABX;AIRBUS A300C4/F4 FREIGHTER
ABF;ABY;AIRBUS A300-600 FREIGHTER
ACP;ACP;Rockwell Commander 114B
AGH;AGH;AGUSTA A109 MKII/E
AN6;A26;Antonov An-26
APH;APH;EUROCOPTER SUPER PUMA/COUGAR
ARJ;AR8;AVRO RJ85 AVROLINER
ARJ;AR1;RJ-100 AVROLINER
AT4;AT4;AEROSPATIALE 42-500
AT4;AT3;AEROSPATIALE/AERITALIA ATR 42-300
AT7;AT7;AEROSPATIALE/ALENIA ATR72-500
AT7;AT7;AEROSPATIALE/AERITALIA ATR72-201
AT7;AT7;AEROSPATIALE/ALENIA ATR72-600
AT7;AT7;AEROSPATIALE/AERITALIA ATR72-211
ATR;ATR;Avions de transport regional
ATR;AT7;AEROSPATIALE/AERITALIA ATR72
AW6;AW6;AGUSTA WESTLAND AW169
AW8;AW8;AgustaWestland AW189
AWH;AWH;AgustaWestland AW139
BE1;BEH;BEECHCRAFT 1900D
BEC;BET;BEECH AIRCRAFT F90
BEC;BE2;BEECH BARON 58
BEC;BET;BEECH SUPER KING AIR 200(C12-MIL)
BEC;BET;BEECH KING AIR 90(U21A MIL)
BEC;BEP;BEECH BONANZA 36
BEC;BET;Beechcraft King Air 360
BEC;BET;BEECH SUPER KING AIR 350
BEC;BET;Beech C90GTi King Air
BW6;BW6;Blackwing 600RG
C17;C17;Boeing C-17 Globemaster III
C75;C75;BOMBARDIER GLOBAL 7500
CC6;CC6;BOMBARDIER GLOBAL 6000/6500/XRS
CC7;CC7;Bombardier Glob. 7000
