aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flight_states;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpening;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
;;LIS;;;S;False;A;HV5960;5960;B35;B;145009202970983816;True;HV5960;HV;TRA;164.0;PHHZG;J;1.0;2026-05-26 21:32:53+00:00;2026-05-26 23:19:47.716000+00:00;2026-05-26 21:32:53+00:00;2026-05-26 22:00:00+00:00;;;;;2026-05-26 22:15:42+00:00;;
;;ATH;;;S;False;A;HV6862;6862;D85;D;145009202971082388;True;HV6862;HV;TRA;164.0;OYRUU;J;4.0;2026-05-26 21:51:36+00:00;2026-05-26 23:33:33.040000+00:00;2026-05-26 21:51:36+00:00;2026-05-26 22:05:00+00:00;;;;;2026-05-26 22:50:32.581000+00:00;;
;;RBA;KL2582;;N;False;A;HV5718;5718;E8;E;145009202970977986;True;HV5718;HV;TRA;164.0;PHHXB;J;3.0;2026-05-26 21:53:59+00:00;2026-05-26 23:38:28.090000+00:00;2026-05-26 21:53:59+00:00;2026-05-26 22:10:00+00:00;;;;;2026-05-26 22:52:00.072000+00:00;;
;;RBA;KL2582;;N;False;A;KL2582;2582;E8;E;145009203349249620;True;HV5718;KL;KLM;100.0;PHHXB;J;3.0;2026-05-26 21:53:59+00:00;2026-05-26 23:38:28.090000+00:00;2026-05-26 21:53:59+00:00;2026-05-26 22:10:00+00:00;;;;;2026-05-26 22:52:00.072000+00:00;;
;;BCN;;;S;False;A;HV5134;5134;D63;D;145009202970961698;True;HV5134;HV;TRA;164.0;PHHBM;J;1.0;2026-05-26 22:55:12+00:00;2026-05-26 23:43:48.479000+00:00;2026-05-26 22:55:12+00:00;2026-05-26 22:15:00+00:00;;;;;2026-05-26 23:43:51+00:00;;
;;LPA;KL2573;;S;False;A;HV5666;5666;D61;D;145009202970975614;True;HV5666;HV;TRA;164.0;PHYHU;J;1.0;2026-05-26 22:21:43+00:00;2026-05-26 23:08:35.587000+00:00;2026-05-26 22:21:43+00:00;2026-05-26 22:15:00+00:00;;;;;2026-05-26 22:55:42+00:00;;
;;AGP;;;S;False;A;HV6118;6118;C13;C;145009202971062864;True;HV6118;HV;TRA;164.0;PHYHA;J;1.0;2026-05-26 22:37:44+00:00;2026-05-26 23:09:57.482000+00:00;2026-05-26 22:37:44+00:00;2026-05-26 22:15:00+00:00;;;;;2026-05-26 23:03:31+00:00;;
;;LPA;KL2573;;S;False;A;KL2573;2573;D61;D;145009203349249548;True;HV5666;KL;KLM;100.0;PHYHU;J;1.0;2026-05-26 22:21:43+00:00;2026-05-26 23:08:35.587000+00:00;2026-05-26 22:21:43+00:00;2026-05-26 22:15:00+00:00;;;;;2026-05-26 22:55:42+00:00;;
;;FAO;KL3282;;S;False;A;HV5352;5352;C16;C;145009202970967318;True;HV5352;HV;TRA;164.0;PHYHB;J;1.0;2026-05-26 22:13:42+00:00;2026-05-26 22:53:21.373000+00:00;2026-05-26 22:13:42+00:00;2026-05-26 22:20:00+00:00;;;;;2026-05-26 22:50:14+00:00;;
;;GRO;;;S;False;A;HV5766;5766;C12;C;145009202970978352;True;HV5766;HV;TRA;164.0;PHYHD;J;1.0;2026-05-26 22:05:03+00:00;2026-05-26 22:44:03.563000+00:00;2026-05-26 22:05:03+00:00;2026-05-26 22:20:00+00:00;;;;;2026-05-26 22:41:48+00:00;;
;;ALC;KL2642;;S;False;A;HV6146;6146;C15;C;145009202971063082;True;HV6146;HV;TRA;164.0;PHHXD;J;1.0;2026-05-26 22:01:10+00:00;2026-05-26 23:39:47.090000+00:00;2026-05-26 22:01:10+00:00;2026-05-26 22:20:00+00:00;;;;;2026-05-26 22:33:49+00:00;;
;;ALC;KL2642;;S;False;A;KL2642;2642;C15;C;145009203349252062;True;HV6146;KL;KLM;100.0;PHHXD;J;1.0;2026-05-26 22:01:10+00:00;2026-05-26 23:39:47.090000+00:00;2026-05-26 22:01:10+00:00;2026-05-26 22:20:00+00:00;;;;;2026-05-26 22:33:49+00:00;;
;;FAO;KL3282;;S;False;A;KL3282;3282;C16;C;145009203349342712;True;HV5352;KL;KLM;100.0;PHYHB;J;1.0;2026-05-26 22:13:42+00:00;2026-05-26 22:53:21.373000+00:00;2026-05-26 22:13:42+00:00;2026-05-26 22:20:00+00:00;;;;;2026-05-26 22:50:14+00:00;;
;;TFS;KL2550;;S;False;A;HV6184;6184;C9;C;145009202971063374;True;HV6184;HV;TRA;164.0;PHYHW;J;1.0;2026-05-26 22:23:46+00:00;2026-05-26 23:19:32.797000+00:00;2026-05-26 22:23:46+00:00;2026-05-26 22:25:00+00:00;;;;;2026-05-26 23:21:12+00:00;;
;;TFS;KL2550;;S;False;A;KL2550;2550;C9;C;145009203349249394;True;HV6184;KL;KLM;100.0;PHYHW;J;1.0;2026-05-26 22:23:46+00:00;2026-05-26 23:19:32.797000+00:00;2026-05-26 22:23:46+00:00;2026-05-26 22:25:00+00:00;;;;;2026-05-26 23:21:12+00:00;;
;;RHO;;;S;False;A;HV5080;5080;D60;D;145009202970959322;True;HV5080;HV;TRA;164.0;PHYHZ;J;1.0;2026-05-26 22:19:01+00:00;2026-05-26 22:22:54.151000+00:00;2026-05-26 22:19:01+00:00;2026-05-26 22:30:00+00:00;;;;;2026-05-26 22:49:05.857000+00:00;;
;;CTA;KL2566;;S;False;A;HV5216;5216;C5;C;145009202970964292;True;HV5216;HV;TRA;164.0;PHYHV;J;1.0;2026-05-26 22:16:45+00:00;2026-05-26 23:13:13.342000+00:00;2026-05-26 22:16:45+00:00;2026-05-26 22:30:00+00:00;;;;;2026-05-26 23:16:34+00:00;;
;;CTA;KL2566;;S;False;A;KL2566;2566;C5;C;145009203349249480;True;HV5216;KL;KLM;100.0;PHYHV;J;1.0;2026-05-26 22:16:45+00:00;2026-05-26 23:13:13.342000+00:00;2026-05-26 22:16:45+00:00;2026-05-26 22:30:00+00:00;;;;;2026-05-26 23:16:34+00:00;;
;;HER;KL2533;;S;False;A;HV6876;6876;C18;C;145009202971082470;True;HV6876;HV;TRA;164.0;PHYHT;J;1.0;2026-05-26 22:33:35+00:00;2026-05-26 23:36:37.019000+00:00;2026-05-26 22:33:35+00:00;2026-05-26 22:40:00+00:00;;;;;2026-05-26 23:28:50+00:00;;
;;HER;KL2533;;S;False;A;KL2533;2533;C18;C;145009203349249252;True;HV6876;KL;KLM;100.0;PHYHT;J;1.0;2026-05-26 22:33:35+00:00;2026-05-26 23:36:37.019000+00:00;2026-05-26 22:33:35+00:00;2026-05-26 22:40:00+00:00;;;;;2026-05-26 23:28:50+00:00;;
;;RHO;;;S;False;A;OR1204;1204;D77;D;145009203926381100;True;OR1204;OR;TFL;231.0;OOTMT;J;1.0;2026-05-26 22:58:11+00:00;2026-05-26 23:39:14.673000+00:00;2026-05-26 22:58:11+00:00;2026-05-26 22:45:00+00:00;;;;;2026-05-26 23:27:13+00:00;;
;;RAK;KL2626;;N;False;A;HV5754;5754;E6;E;145009202970978274;True;HV5754;HV;TRA;164.0;PHYHX;J;3.0;2026-05-26 22:35:46+00:00;2026-05-26 23:41:57.926000+00:00;2026-05-26 22:35:46+00:00;2026-05-26 22:50:00+00:00;;;;;2026-05-27 00:11:57.796000+00:00;;
